transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers,weekday
2023-02-04,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4853,16,Saturday
2023-02-05,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7190,83,Sunday
2023-02-05,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1091,16,Sunday
2023-02-05,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),8628,350,Sunday
2023-02-05,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4514,21,Sunday
2023-02-06,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),15191,232,Monday
2023-02-06,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3623,88,Monday
2023-02-06,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16908,768,Monday
2023-02-06,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9211,64,Monday
2023-02-07,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16391,217,Tuesday
2023-02-07,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3718,79,Tuesday
2023-02-07,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18280,843,Tuesday
2023-02-07,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9760,70,Tuesday
2023-02-08,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16657,252,Wednesday
2023-02-08,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3773,76,Wednesday
2023-02-08,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18706,833,Wednesday
2023-02-08,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),10021,58,Wednesday
2023-02-09,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16229,246,Thursday
2023-02-09,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),4055,70,Thursday
2023-02-09,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18946,839,Thursday
2023-02-09,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),10130,62,Thursday
2023-02-10,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),15132,198,Friday
2023-02-10,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3776,63,Friday
2023-02-10,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18484,762,Friday
2023-02-10,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9144,50,Friday
2023-02-11,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),10327,163,Saturday
2023-02-11,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1913,27,Saturday
2023-02-11,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),12111,444,Saturday
2023-02-11,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),6139,29,Saturday
2023-02-12,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7830,94,Sunday
2023-02-12,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1377,20,Sunday
2023-02-12,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),9379,373,Sunday
2023-02-12,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4721,29,Sunday
2023-02-13,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),12784,226,Monday
2023-02-13,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3315,75,Monday
2023-02-13,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16229,747,Monday
2023-02-13,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7705,50,Monday
2023-02-14,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16408,241,Tuesday
2023-02-14,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3977,67,Tuesday
2023-02-14,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18194,841,Tuesday
2023-02-14,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),10065,59,Tuesday
2023-02-15,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16503,248,Wednesday
2023-02-15,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3899,62,Wednesday
2023-02-15,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18359,796,Wednesday
2023-02-15,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9896,60,Wednesday
2023-02-16,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16164,240,Thursday
2023-02-16,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3946,83,Thursday
2023-02-16,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),18341,782,Thursday
2023-02-16,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9829,66,Thursday
