transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,ridership
2023Q1,16,"8 St-NYU (R,W)",Manhattan,40.730328,-73.992629,934125
2023Q1,160,"72 St (C,B)",Manhattan,40.775594,-73.97641,468227
2023Q1,162,"50 St (C,E)",Manhattan,40.762456,-73.985984,1066437
2023Q1,164,"34 St-Penn Station (A,C,E)",Manhattan,40.752287,-73.993391,3930385
2023Q1,165,"23 St (C,E)",Manhattan,40.745906,-73.998041,982434
2023Q1,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000495,4650216
2023Q1,168,"Spring St (C,E)",Manhattan,40.726227,-74.003739,668332
2023Q1,169,"Canal St (A,C,E)",Manhattan,40.720824,-74.005229,929734
2023Q1,17,"Prince St (R,W)",Manhattan,40.724329,-73.997702,706360
2023Q1,173,"High St (A,C)",Brooklyn,40.699337,-73.990531,485758
2023Q1,175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985001,668215
2023Q1,176,Lafayette Av (C),Brooklyn,40.686113,-73.973946,300948
2023Q1,177,Clinton-Washington Avs (C),Brooklyn,40.683263,-73.965838,387353
2023Q1,179,"Nostrand Av (A,C)",Brooklyn,40.680438,-73.950426,907866
2023Q1,180,Kingston-Throop Avs (C),Brooklyn,40.679921,-73.940858,348173
2023Q1,181,"Utica Av (A,C)",Brooklyn,40.679364,-73.930729,725191
2023Q1,182,Ralph Av (C),Brooklyn,40.678822,-73.920786,263444
2023Q1,183,Rockaway Av (C),Brooklyn,40.67834,-73.911946,264836
2023Q1,185,Liberty Av (C),Brooklyn,40.674542,-73.896548,129905
2023Q1,186,Van Siclen Av (C),Brooklyn,40.67271,-73.890358,128583
2023Q1,187,Shepherd Av (C),Brooklyn,40.67413,-73.88075,139549
2023Q1,188,"Euclid Av (A,C)",Brooklyn,40.675377,-73.872106,516818
2023Q1,189,Grant Av (A),Brooklyn,40.677044,-73.86505,296186
2023Q1,190,80 St (A),Queens,40.679371,-73.858992,228224
2023Q1,191,88 St (A),Queens,40.679843,-73.85147,144915
2023Q1,192,Rockaway Blvd (A),Queens,40.680429,-73.843853,390338
2023Q1,193,104 St (A),Queens,40.681711,-73.837683,97747
2023Q1,194,111 St (A),Queens,40.684331,-73.832163,120516
2023Q1,195,Ozone Park-Lefferts Blvd (A),Queens,40.685951,-73.825798,339948
2023Q1,196,Aqueduct Racetrack (A),Queens,40.672097,-73.835919,49100
2023Q1,197,Aqueduct-N Conduit Av (A),Queens,40.668234,-73.834058,40411
2023Q1,198,Howard Beach-JFK Airport (A),Queens,40.660476,-73.830301,151101
2023Q1,199,"Broad Channel (A,S)",Queens,40.608382,-73.815925,14239
2023Q1,2,"Astoria Blvd (N,W)",Queens,40.770258,-73.917843,565078
2023Q1,20,"City Hall (R,W)",Manhattan,40.713282,-74.006978,251212
2023Q1,200,"Beach 90 St (A,S)",Queens,40.588034,-73.813641,32903
2023Q1,201,"Beach 98 St (A,S)",Queens,40.585307,-73.820558,21378
2023Q1,202,"Beach 105 St (A,S)",Queens,40.583209,-73.827559,10804
2023Q1,203,"Rockaway Park-Beach 116 St (A,S)",Queens,40.580903,-73.835592,33441
2023Q1,204,Beach 67 St (A),Queens,40.590927,-73.796924,110431
2023Q1,205,Beach 60 St (A),Queens,40.592374,-73.788522,92755
2023Q1,206,Beach 44 St (A),Queens,40.592943,-73.776013,36111
2023Q1,207,Beach 36 St (A),Queens,40.595398,-73.768175,45287
2023Q1,208,Beach 25 St (A),Queens,40.600066,-73.761353,85164
2023Q1,209,Far Rockaway-Mott Av (A),Queens,40.603995,-73.755405,216813
2023Q1,210,Norwood-205 St (D),Bronx,40.874811,-73.878855,345671
2023Q1,211,"Bedford Park Blvd (B,D)",Bronx,40.873244,-73.887138,297768
2023Q1,212,"Kingsbridge Rd (B,D)",Bronx,40.866978,-73.893509,298885
