station_complex_id,station_complex,borough,Year,ridership,net_exits
R408,East 149 St (6),BX,2018,1516916,1436737
R408,East 149 St (6),BX,2019,1473802,1433353
R408,East 149 St (6),BX,2020,774784,913013
R408,East 149 St (6),BX,2021,760385,974398
R408,East 149 St (6),BX,2022,753588,1173361
R410,Longwood Av (6),BX,2018,1052973,940453
R410,Longwood Av (6),BX,2019,957991,869067
R410,Longwood Av (6),BX,2020,383258,459342
R410,Longwood Av (6),BX,2021,513308,631944
R410,Longwood Av (6),BX,2022,558109,773259
R412,Hunts Point Av (6),BX,2018,3233718,2717253
R412,Hunts Point Av (6),BX,2019,2970396,2539241
R412,Hunts Point Av (6),BX,2020,1428741,1357578
R412,Hunts Point Av (6),BX,2021,1297858,1516184
R412,Hunts Point Av (6),BX,2022,1233520,1816066
R413,Whitlock Av (6),BX,2018,593281,632657
R413,Whitlock Av (6),BX,2019,586842,645310
R413,Whitlock Av (6),BX,2020,300317,390093
R413,Whitlock Av (6),BX,2021,301288,433470
R413,Whitlock Av (6),BX,2022,302250,536471
R414,Elder Av (6),BX,2018,1994367,1901432
R414,Elder Av (6),BX,2019,1986009,1984357
R414,Elder Av (6),BX,2020,1022471,1259374
R414,Elder Av (6),BX,2021,1047594,1457546
R414,Elder Av (6),BX,2022,1045271,1826932
R415,Morrison Av-Soundview (6),BX,2018,1989189,1692164
R415,Morrison Av-Soundview (6),BX,2019,1969594,1764797
R415,Morrison Av-Soundview (6),BX,2020,974603,1080780
R415,Morrison Av-Soundview (6),BX,2021,1005974,1187920
R415,Morrison Av-Soundview (6),BX,2022,999946,1473443
R416,St Lawrence Av (6),BX,2018,1276852,1208209
R416,St Lawrence Av (6),BX,2019,1277484,1236875
R416,St Lawrence Av (6),BX,2020,623234,721174
R416,St Lawrence Av (6),BX,2021,634008,787133
R416,St Lawrence Av (6),BX,2022,647260,1037509
R417,Parkchester (6),BX,2018,4728039,5160258
R417,Parkchester (6),BX,2019,4634383,5112073
R417,Parkchester (6),BX,2020,2159519,2541426
R417,Parkchester (6),BX,2021,2179623,2997168
R417,Parkchester (6),BX,2022,2214755,3703320
R418,Castle Hill Av (6),BX,2018,1993047,2025007
R418,Castle Hill Av (6),BX,2019,1954879,2042243
R418,Castle Hill Av (6),BX,2020,930281,1113592
R418,Castle Hill Av (6),BX,2021,951008,1280128
R418,Castle Hill Av (6),BX,2022,947634,1561084
R419,Zerega Av (6),BX,2018,797609,737547
R419,Zerega Av (6),BX,2019,799488,752326
R419,Zerega Av (6),BX,2020,351221,385376
R419,Zerega Av (6),BX,2021,358362,444036
R419,Zerega Av (6),BX,2022,371981,550518
R420,Westchester Sq-East Tremont Av (6),BX,2018,1837239,1714350
R420,Westchester Sq-East Tremont Av (6),BX,2019,1818589,1710831
R420,Westchester Sq-East Tremont Av (6),BX,2020,839313,944390
R420,Westchester Sq-East Tremont Av (6),BX,2021,860455,1123700
R420,Westchester Sq-East Tremont Av (6),BX,2022,842764,1347577
R421,Middletown Rd (6),BX,2018,609759,586903
R421,Middletown Rd (6),BX,2019,614092,594299
R421,Middletown Rd (6),BX,2020,260120,292959
R421,Middletown Rd (6),BX,2021,267140,340961
R421,Middletown Rd (6),BX,2022,293841,428374
R422,Buhre Av (6),BX,2018,1117180,1052328
R422,Buhre Av (6),BX,2019,1151671,1103676
R422,Buhre Av (6),BX,2020,507878,563831
R422,Buhre Av (6),BX,2021,526384,672231
R422,Buhre Av (6),BX,2022,558122,841648
R423,Pelham Bay Park (6),BX,2018,2216306,1284620
R423,Pelham Bay Park (6),BX,2019,2201592,1246575
R423,Pelham Bay Park (6),BX,2020,992899,738295
R423,Pelham Bay Park (6),BX,2021,990622,824460
R423,Pelham Bay Park (6),BX,2022,973590,982875
R504,Vernon Blvd-Jackson Av (7),Q,2018,4511655,3284580
R504,Vernon Blvd-Jackson Av (7),Q,2019,4658300,3396924
R504,Vernon Blvd-Jackson Av (7),Q,2020,1707569,1480168
R504,Vernon Blvd-Jackson Av (7),Q,2021,1659560,1970749
R504,Vernon Blvd-Jackson Av (7),Q,2022,1722820,2659842
R507,Hunters Point Av (7),Q,2018,1955950,1594317
R507,Hunters Point Av (7),Q,2019,1904333,1567563
R507,Hunters Point Av (7),Q,2020,705663,688981
R507,Hunters Point Av (7),Q,2021,616864,717639
R507,Hunters Point Av (7),Q,2022,752303,994140
R509,"Queensboro Plaza (N,W,7)",Q,2018,4952455,1496383
R509,"Queensboro Plaza (N,W,7)",Q,2019,4846867,1480706
R509,"Queensboro Plaza (N,W,7)",Q,2020,1758020,668164
R509,"Queensboro Plaza (N,W,7)",Q,2021,1758120,845683
R509,"Queensboro Plaza (N,W,7)",Q,2022,1890075,1100244
R510,"39 Av (N,W)",Q,2018,677715,405963
R510,"39 Av (N,W)",Q,2019,769113,801132
R510,"39 Av (N,W)",Q,2020,371202,452207
R510,"39 Av (N,W)",Q,2021,359986,560622
R510,"39 Av (N,W)",Q,2022,411547,790951
R511,"36 Av (N,W)",Q,2018,1402186,1444836
R511,"36 Av (N,W)",Q,2019,1924281,1988324
R511,"36 Av (N,W)",Q,2020,817516,964146
R511,"36 Av (N,W)",Q,2021,828177,1223350
R511,"36 Av (N,W)",Q,2022,875271,1603658
R512,"Broadway (N,W)",Q,2018,2342876,1456893
R512,"Broadway (N,W)",Q,2019,2996111,2897346
R512,"Broadway (N,W)",Q,2020,1392997,1465995
R512,"Broadway (N,W)",Q,2021,1483251,1973448
R512,"Broadway (N,W)",Q,2022,1500747,2593953
R513,"30 Av (N,W)",Q,2018,2287976,2033569
R513,"30 Av (N,W)",Q,2019,5095871,3833858
R513,"30 Av (N,W)",Q,2020,1725797,1661397
R513,"30 Av (N,W)",Q,2021,1670222,2103351
R513,"30 Av (N,W)",Q,2022,1641486,2641439
R514,"Astoria Blvd (N,W)",Q,2018,4142883,3149896
R514,"Astoria Blvd (N,W)",Q,2019,710004,580334
R514,"Astoria Blvd (N,W)",Q,2020,1017564,1098635
R514,"Astoria Blvd (N,W)",Q,2021,1294913,1503775
R514,"Astoria Blvd (N,W)",Q,2022,1373077,2071338
R515,"Astoria-Ditmars Blvd (N,W)",Q,2018,4410003,3105122
R515,"Astoria-Ditmars Blvd (N,W)",Q,2019,5186704,4557637
R515,"Astoria-Ditmars Blvd (N,W)",Q,2020,1971159,2045304
R515,"Astoria-Ditmars Blvd (N,W)",Q,2021,1935662,2467556
R515,"Astoria-Ditmars Blvd (N,W)",Q,2022,2018576,3129018
R516,33 St-Rawson St (7),Q,2018,3031654,2351468
R516,33 St-Rawson St (7),Q,2019,2902977,2419488
R516,33 St-Rawson St (7),Q,2020,942785,931618
R516,33 St-Rawson St (7),Q,2021,907245,1073826
R516,33 St-Rawson St (7),Q,2022,1181750,1596782
R518,40 St-Lowery St (7),Q,2018,3022914,2708932
R518,40 St-Lowery St (7),Q,2019,3062094,2820534
R518,40 St-Lowery St (7),Q,2020,1194432,1211074
R518,40 St-Lowery St (7),Q,2021,1302351,1617997
R518,40 St-Lowery St (7),Q,2022,1387255,2104109
R519,46 St-Bliss St (7),Q,2018,4047206,3100802
R519,46 St-Bliss St (7),Q,2019,3998218,3182163
R519,46 St-Bliss St (7),Q,2020,1708062,1589420
R519,46 St-Bliss St (7),Q,2021,1889462,2241418
R519,46 St-Bliss St (7),Q,2022,1912357,2953380
R521,52 St (7),Q,2018,1853714,1817450
R521,52 St (7),Q,2019,1887429,1835241
R521,52 St (7),Q,2020,824157,866952
R521,52 St (7),Q,2021,914530,1135727
R521,52 St (7),Q,2022,920643,1439982
R523,Woodside-61 St (7),Q,2018,5296439,5480619
R523,Woodside-61 St (7),Q,2019,4891526,4937403
R523,Woodside-61 St (7),Q,2020,2150535,2320851
R523,Woodside-61 St (7),Q,2021,2491253,3047826
R523,Woodside-61 St (7),Q,2022,2648458,3826985
R524,69 St (7),Q,2018,1509580,1583831
R524,69 St (7),Q,2019,1560421,1637056
R524,69 St (7),Q,2020,727925,868426
R524,69 St (7),Q,2021,901335,1207871
R524,69 St (7),Q,2022,1002060,1562426
R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,2018,16459413,13198623
